#SampleID	Barcode	Site	Subsite	Layers	Season	Sampling_date	Altitude	Site_name	Top_temp	vegetation_cover
sample01	barcode01	A	a	t	Summer_2023	Jun_23	2560	Saas_Fee	21.9	"Stone_rubble, snow_valley"
sample02	barcode02	A	a	d	Summer_2023	Jun_23	2560	Saas_Fee	15.5	"Stone_rubble, snow_valley"
sample03	barcode03	A	b	t	Summer_2023	Jun_23	2560	Saas_Fee	21.9	"Stone_rubble, snow_valley"
sample04	barcode04	A	b	d	Summer_2023	Jun_23	2560	Saas_Fee	15.5	"Stone_rubble, snow_valley"
sample05	barcode05	A	c	t	Summer_2023	Jun_23	2560	Saas_Fee	21.9	"Stone_rubble, snow_valley"
sample06	barcode06	A	c	d	Summer_2023	Jun_23	2560	Saas_Fee	15.5	"Stone_rubble, snow_valley"
sample07	barcode07	A	d	t	Summer_2023	Jun_23	2560	Saas_Fee	21.9	"Stone_rubble, snow_valley"
sample08	barcode08	A	d	d	Summer_2023	Jun_23	2560	Saas_Fee	15.5	"Stone_rubble, snow_valley"
sample09	barcode09	A	e	t	Summer_2023	Jun_23	2560	Saas_Fee	21.9	"Stone_rubble, snow_valley"
sample10	barcode10	A	e	d	Summer_2023	Jun_23	2560	Saas_Fee	15.5	"Stone_rubble, snow_valley"
sample11	barcode11	B	a	t	Summer_2023	Jun_23	2720	Mont_Fort	17.3	"Stone_rubble, pioneer_corridors"
sample12	barcode12	B	a	d	Summer_2023	Jun_23	2720	Mont_Fort	10.6	"Stone_rubble, pioneer_corridors"
sample13	barcode13	B	b	t	Summer_2023	Jun_23	2720	Mont_Fort	17.3	"Stone_rubble, pioneer_corridors"
sample14	barcode14	B	b	d	Summer_2023	Jun_23	2720	Mont_Fort	10.6	"Stone_rubble, pioneer_corridors"
sample15	barcode15	B	c	t	Summer_2023	Jun_23	2720	Mont_Fort	17.3	"Stone_rubble, pioneer_corridors"
sample16	barcode16	B	c	d	Summer_2023	Jun_23	2720	Mont_Fort	10.6	"Stone_rubble, pioneer_corridors"
sample17	barcode17	B	d	t	Summer_2023	Jun_23	2720	Mont_Fort	17.3	"Stone_rubble, pioneer_corridors"
sample18	barcode18	B	d	d	Summer_2023	Jun_23	2720	Mont_Fort	10.6	"Stone_rubble, pioneer_corridors"
sample19	barcode19	B	e	t	Summer_2023	Jun_23	2720	Mont_Fort	17.3	"Stone_rubble, pioneer_corridors"
sample20	barcode20	B	e	d	Summer_2023	Jun_23	2720	Mont_Fort	10.6	"Stone_rubble, pioneer_corridors"
sample21	barcode21	C	a	t	Summer_2023	Jun_23	2820	Cabane_de_Moiry	11.1	"Stone_rubble, snow_valley"
sample22	barcode22	C	a	d	Summer_2023	Jun_23	2820	Cabane_de_Moiry	9.8	"Stone_rubble, snow_valley"
sample23	barcode23	C	b	t	Summer_2023	Jun_23	2820	Cabane_de_Moiry	11.1	"Stone_rubble, snow_valley"
sample24	barcode24	C	b	d	Summer_2023	Jun_23	2820	Cabane_de_Moiry	9.8	"Stone_rubble, snow_valley"
sample25	barcode25	C	c	t	Summer_2023	Jun_23	2820	Cabane_de_Moiry	11.1	"Stone_rubble, snow_valley"
sample26	barcode26	C	c	d	Summer_2023	Jun_23	2820	Cabane_de_Moiry	9.8	"Stone_rubble, snow_valley"
sample27	barcode27	C	d	t	Summer_2023	Jun_23	2820	Cabane_de_Moiry	11.1	"Stone_rubble, snow_valley"
sample28	barcode28	C	d	d	Summer_2023	Jun_23	2820	Cabane_de_Moiry	9.8	"Stone_rubble, snow_valley"
sample29	barcode29	C	e	t	Summer_2023	Jun_23	2820	Cabane_de_Moiry	11.1	"Stone_rubble, snow_valley"
sample30	barcode30	C	e	d	Summer_2023	Jun_23	2820	Cabane_de_Moiry	9.8	"Stone_rubble, snow_valley"
sample31	barcode31	F	a	t	Summer_2023	Jun_23	2900	Schilthorn	22.2	"Stone_rubble, sparse_vegetation"
sample32	barcode32	F	a	d	Summer_2023	Jun_23	2900	Schilthorn	14.8	"Stone_rubble, sparse_vegetation"
sample33	barcode33	F	b	t	Summer_2023	Jun_23	2900	Schilthorn	22.2	"Stone_rubble, sparse_vegetation"
sample34	barcode34	F	c	d	Summer_2023	Jun_23	2900	Schilthorn	22.2	"Stone_rubble, sparse_vegetation"
sample35	barcode35	F	c	t	Summer_2023	Jun_23	2900	Schilthorn	14.8	"Stone_rubble, sparse_vegetation"
sample36	barcode36	F	d	d	Summer_2023	Jun_23	2900	Schilthorn	22.2	"Stone_rubble, sparse_vegetation"
sample37	barcode37	F	e	t	Summer_2023	Jun_23	2900	Schilthorn	22.2	"Stone_rubble, sparse_vegetation"
sample38	barcode38	F	e	d	Summer_2023	Jun_23	2900	Schilthorn	14.8	"Stone_rubble, sparse_vegetation"
sample39	barcode39	G	a	t	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	11.3	Stone_rubble
sample40	barcode40	G	b	t	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	11.3	Stone_rubble
sample41	barcode41	G	b	d	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	7.9	Stone_rubble
sample42	barcode42	G	c	t	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	11.3	Stone_rubble
sample43	barcode43	G	c	d	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	7.9	Stone_rubble
sample44	barcode44	G	d	t	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	11.3	Stone_rubble
sample45	barcode45	G	d	d	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	7.9	Stone_rubble
sample46	barcode46	G	e	t	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	11.3	Stone_rubble
sample47	barcode47	G	e	d	Summer_2023	Jun_23	2860	Diablerets_Scex_rouge	7.9	Stone_rubble
sample48	barcode48	H	a	t	Summer_2023	Jun_23	2500	Cabane_des_Diablerets	11.3	Stone_rubble
sample49	barcode49	H	a	d	Summer_2023	Jun_23	2500	Cabane_des_Diablerets	7.9	Stone_rubble
sample50	barcode50	H	b	t	Summer_2023	Jun_23	2500	Cabane_des_Diablerets	11.3	Stone_rubble
sample51	barcode51	H	b	d	Summer_2023	Jun_23	2500	Cabane_des_Diablerets	7.9	Stone_rubble
sample52	barcode52	H	c	t	Summer_2023	Jun_23	2500	Cabane_des_Diablerets	11.3	Stone_rubble
sample53	barcode53	H	c	d	Summer_2023	Jun_23	2500	Cabane_des_Diablerets	7.9	Stone_rubble
